"","stimulus","context","response","longWord","shortWord","order","workerid"
"449","LongShort 17","neut","long","referee","ref","shortfirst",12
"450","LongShort 24","neut","long","air conditioning","A/C","shortfirst",12
"451","LongShort 1","neut","short","mathematics","math","shortfirst",12
"452","LongShort 30","supp","short","identification","ID","longfirst",12
"453","LongShort 35","supp","long","hamburger","burger","shortfirst",12
"454","LongShort 19","supp","short","kilogram","kilo","shortfirst",12
"455","LongShort 15","neut","long","cockroach","roach","longfirst",12
"456","LongShort 26","supp","short","United Kingdom","U.K.","longfirst",12
"457","LongShort 28","supp","short","laboratory","lab","shortfirst",12
"458","LongShort 14","neut","long","saxophone","sax","longfirst",12
"459","LongShort 34","neut","long","veterinarian","vet","longfirst",12
"460","LongShort 22","neut","short","carbohydrates","carbs","shortfirst",12
"461","LongShort 4","neut","short","dormitory","dorm","longfirst",12
"462","LongShort 3","neut","short","examination","exam","shortfirst",12
"463","LongShort 16","neut","short","telephone","phone","shortfirst",12
"464","LongShort 6","supp","long","photograph","photo","shortfirst",12
"465","LongShort 12","neut","short","pornography","porn","shortfirst",12
"466","LongShort 31","supp","long","mayonnaise","mayo","longfirst",12
"467","LongShort 2","neut","short","bicycle","bike","longfirst",12
"468","LongShort 5","neut","short","memorandum","memo","longfirst",12
"469","LongShort 33","supp","long","milkshake","shake","longfirst",12
"470","LongShort 13","neut","short","limousine","limo","longfirst",12
"471","LongShort 32","supp","short","Coca-Cola","Coke","longfirst",12
"472","LongShort 25","neut","short","gasoline","gas","shortfirst",12
"473","LongShort 29","neut","short","Labrador","Lab","shortfirst",12
"474","LongShort 9","neut","short","hippopotamus","hippo","shortfirst",12
"475","LongShort 10","neut","short","rhinoceros","rhino","shortfirst",12
"476","LongShort 18","supp","short","undergraduate","undergrad","shortfirst",12
"477","LongShort 20","neut","short","chemotherapy","chemo","shortfirst",12
"478","LongShort 8","supp","long","refrigerator","fridge","shortfirst",12
"479","LongShort 36","supp","short","quadriceps","quads","longfirst",12
"480","LongShort 7","neut","short","fraternity","frat","shortfirst",12
"481","LongShort 20","supp","long","chemotherapy","chemo","shortfirst",13
"482","LongShort 6","supp","short","photograph","photo","shortfirst",13
"483","LongShort 12","supp","short","pornography","porn","shortfirst",13
"484","LongShort 34","neut","long","veterinarian","vet","longfirst",13
"485","LongShort 29","neut","long","Labrador","Lab","shortfirst",13
"486","LongShort 1","supp","short","mathematics","math","longfirst",13
"487","LongShort 38","neut","long","emergency room","ER","longfirst",13
"488","LongShort 10","supp","short","rhinoceros","rhino","shortfirst",13
"489","LongShort 35","supp","long","hamburger","burger","longfirst",13
"490","LongShort 26","supp","short","United Kingdom","U.K.","longfirst",13
"491","LongShort 8","supp","short","refrigerator","fridge","longfirst",13
"492","LongShort 28","neut","short","laboratory","lab","shortfirst",13
"493","LongShort 27","neut","long","microphone","mic","longfirst",13
"494","LongShort 14","supp","long","saxophone","sax","shortfirst",13
"495","LongShort 2","supp","long","bicycle","bike","longfirst",13
"496","LongShort 25","supp","short","gasoline","gas","longfirst",13
"497","LongShort 9","neut","short","hippopotamus","hippo","shortfirst",13
"498","LongShort 13","supp","short","limousine","limo","longfirst",13
"499","LongShort 32","neut","long","Coca-Cola","Coke","longfirst",13
"500","LongShort 7","neut","long","fraternity","frat","shortfirst",13
"501","LongShort 19","neut","long","kilogram","kilo","shortfirst",13
"502","LongShort 36","neut","short","quadriceps","quads","shortfirst",13
"503","LongShort 18","neut","short","undergraduate","undergrad","longfirst",13
"504","LongShort 5","supp","short","memorandum","memo","longfirst",13
"505","LongShort 16","supp","short","telephone","phone","longfirst",13
"506","LongShort 24","supp","long","air conditioning","A/C","longfirst",13
"507","LongShort 4","supp","short","dormitory","dorm","shortfirst",13
"508","LongShort 39","supp","long","United States","U.S.","shortfirst",13
"509","LongShort 22","supp","short","carbohydrates","carbs","longfirst",13
"510","LongShort 15","supp","long","cockroach","roach","shortfirst",13
"511","LongShort 11","supp","short","chimpanzee","chimp","longfirst",13
"512","LongShort 23","supp","long","advertisement","ad","shortfirst",13
"513","LongShort 33","supp","long","milkshake","shake","shortfirst",13
"514","LongShort 3","neut","short","examination","exam","longfirst",13
"515","LongShort 40","neut","long","United Nations","U.N.","longfirst",13
"516","LongShort 31","supp","long","mayonnaise","mayo","shortfirst",13
"517","LongShort 17","supp","long","referee","ref","longfirst",13
"518","LongShort 37","supp","short","quadrangle","quad","shortfirst",13
"519","LongShort 21","supp","short","television","TV","longfirst",13
"520","LongShort 30","supp","long","identification","ID","longfirst",13
"521","LongShort 9","supp","long","hippopotamus","hippo","longfirst",14
"522","LongShort 11","neut","long","chimpanzee","chimp","shortfirst",14
"523","LongShort 4","neut","short","dormitory","dorm","longfirst",14
"524","LongShort 5","neut","short","memorandum","memo","shortfirst",14
"525","LongShort 8","supp","long","refrigerator","fridge","shortfirst",14
"526","LongShort 38","neut","long","emergency room","ER","shortfirst",14
"527","LongShort 27","neut","long","microphone","mic","shortfirst",14
"528","LongShort 26","supp","short","United Kingdom","U.K.","longfirst",14
"529","LongShort 25","supp","short","gasoline","gas","shortfirst",14
"530","LongShort 20","neut","long","chemotherapy","chemo","longfirst",14
"531","LongShort 23","supp","short","advertisement","ad","longfirst",14
"532","LongShort 18","neut","short","undergraduate","undergrad","longfirst",14
"533","LongShort 7","supp","long","fraternity","frat","shortfirst",14
"534","LongShort 28","supp","long","laboratory","lab","longfirst",14
"535","LongShort 10","neut","long","rhinoceros","rhino","shortfirst",14
"536","LongShort 40","neut","long","United Nations","U.N.","longfirst",14
"537","LongShort 12","supp","short","pornography","porn","shortfirst",14
"538","LongShort 22","supp","short","carbohydrates","carbs","longfirst",14
"539","LongShort 33","supp","long","milkshake","shake","shortfirst",14
"540","LongShort 29","supp","long","Labrador","Lab","shortfirst",14
"541","LongShort 19","supp","long","kilogram","kilo","shortfirst",14
"542","LongShort 2","neut","short","bicycle","bike","shortfirst",14
"543","LongShort 1","supp","short","mathematics","math","longfirst",14
"544","LongShort 13","neut","short","limousine","limo","longfirst",14
"545","LongShort 24","supp","long","air conditioning","A/C","longfirst",14
"546","LongShort 36","neut","short","quadriceps","quads","longfirst",14
"547","LongShort 39","supp","long","United States","U.S.","shortfirst",14
"548","LongShort 3","supp","short","examination","exam","shortfirst",14
"549","LongShort 14","supp","long","saxophone","sax","longfirst",14
"550","LongShort 15","neut","long","cockroach","roach","longfirst",14
"551","LongShort 6","neut","short","photograph","photo","longfirst",14
"552","LongShort 17","neut","long","referee","ref","longfirst",14
"553","LongShort 31","supp","long","mayonnaise","mayo","shortfirst",14
"554","LongShort 30","supp","short","identification","ID","longfirst",14
"555","LongShort 35","supp","short","hamburger","burger","shortfirst",14
"556","LongShort 34","supp","short","veterinarian","vet","shortfirst",14
"557","LongShort 37","supp","long","quadrangle","quad","shortfirst",14
"558","LongShort 32","neut","long","Coca-Cola","Coke","shortfirst",14
"559","LongShort 21","neut","short","television","TV","shortfirst",14
"560","LongShort 16","supp","short","telephone","phone","shortfirst",14
"561","LongShort 22","neut","long","carbohydrates","carbs","shortfirst",15
"562","LongShort 29","supp","long","Labrador","Lab","longfirst",15
"563","LongShort 2","neut","short","bicycle","bike","shortfirst",15
"564","LongShort 17","neut","long","referee","ref","longfirst",15
"565","LongShort 1","supp","short","mathematics","math","shortfirst",15
"566","LongShort 6","neut","long","photograph","photo","longfirst",15
"567","LongShort 37","supp","short","quadrangle","quad","longfirst",15
"568","LongShort 35","supp","short","hamburger","burger","longfirst",15
"569","LongShort 15","neut","long","cockroach","roach","shortfirst",15
"570","LongShort 28","neut","short","laboratory","lab","shortfirst",15
"571","LongShort 36","neut","short","quadriceps","quads","longfirst",15
"572","LongShort 40","supp","long","United Nations","U.N.","shortfirst",15
"573","LongShort 27","supp","short","microphone","mic","shortfirst",15
"574","LongShort 24","supp","long","air conditioning","A/C","longfirst",15
"575","LongShort 26","supp","long","United Kingdom","U.K.","longfirst",15
"576","LongShort 3","supp","short","examination","exam","shortfirst",15
"577","LongShort 31","neut","long","mayonnaise","mayo","longfirst",15
"578","LongShort 21","neut","short","television","TV","longfirst",15
"579","LongShort 18","neut","short","undergraduate","undergrad","shortfirst",15
"580","LongShort 38","neut","long","emergency room","ER","shortfirst",15
"581","LongShort 39","neut","long","United States","U.S.","shortfirst",15
"582","LongShort 33","neut","long","milkshake","shake","shortfirst",15
"583","LongShort 8","supp","short","refrigerator","fridge","longfirst",15
"584","LongShort 11","supp","long","chimpanzee","chimp","shortfirst",15
"585","LongShort 32","neut","long","Coca-Cola","Coke","shortfirst",15
"586","LongShort 7","neut","long","fraternity","frat","shortfirst",15
"587","LongShort 19","supp","long","kilogram","kilo","shortfirst",15
"588","LongShort 16","supp","long","telephone","phone","longfirst",15
"589","LongShort 12","supp","long","pornography","porn","longfirst",15
"590","LongShort 25","neut","short","gasoline","gas","shortfirst",15
"591","LongShort 34","neut","long","veterinarian","vet","longfirst",15
"592","LongShort 9","supp","short","hippopotamus","hippo","shortfirst",15
"593","LongShort 4","neut","short","dormitory","dorm","longfirst",15
"594","LongShort 13","neut","long","limousine","limo","shortfirst",15
"595","LongShort 10","neut","long","rhinoceros","rhino","longfirst",15
"596","LongShort 30","supp","short","identification","ID","longfirst",15
"597","LongShort 23","neut","long","advertisement","ad","longfirst",15
"598","LongShort 14","neut","long","saxophone","sax","longfirst",15
"599","LongShort 20","neut","long","chemotherapy","chemo","shortfirst",15
"600","LongShort 5","supp","short","memorandum","memo","longfirst",15
"601","LongShort 29","neut","short","Labrador","Lab","longfirst",16
"602","LongShort 23","supp","short","advertisement","ad","shortfirst",16
"603","LongShort 8","neut","short","refrigerator","fridge","longfirst",16
"604","LongShort 16","supp","short","telephone","phone","shortfirst",16
"605","LongShort 14","neut","long","saxophone","sax","shortfirst",16
"606","LongShort 27","neut","long","microphone","mic","longfirst",16
"607","LongShort 20","neut","short","chemotherapy","chemo","longfirst",16
"608","LongShort 34","neut","short","veterinarian","vet","longfirst",16
"609","LongShort 22","supp","short","carbohydrates","carbs","longfirst",16
"610","LongShort 24","supp","short","air conditioning","A/C","shortfirst",16
"611","LongShort 4","neut","short","dormitory","dorm","shortfirst",16
"612","LongShort 13","neut","short","limousine","limo","longfirst",16
"613","LongShort 31","supp","short","mayonnaise","mayo","shortfirst",16
"614","LongShort 19","supp","short","kilogram","kilo","shortfirst",16
"615","LongShort 1","neut","short","mathematics","math","shortfirst",16
"616","LongShort 5","supp","short","memorandum","memo","shortfirst",16
"617","LongShort 15","neut","long","cockroach","roach","longfirst",16
"618","LongShort 2","neut","short","bicycle","bike","shortfirst",16
"619","LongShort 39","neut","long","United States","U.S.","longfirst",16
"620","LongShort 25","supp","short","gasoline","gas","longfirst",16
"621","LongShort 36","supp","short","quadriceps","quads","longfirst",16
"622","LongShort 18","supp","short","undergraduate","undergrad","shortfirst",16
"623","LongShort 9","neut","short","hippopotamus","hippo","longfirst",16
"624","LongShort 21","neut","short","television","TV","longfirst",16
"625","LongShort 33","neut","long","milkshake","shake","shortfirst",16
"626","LongShort 28","supp","short","laboratory","lab","longfirst",16
"627","LongShort 37","supp","short","quadrangle","quad","longfirst",16
"628","LongShort 10","neut","long","rhinoceros","rhino","longfirst",16
"629","LongShort 12","neut","short","pornography","porn","shortfirst",16
"630","LongShort 38","supp","short","emergency room","ER","longfirst",16
"631","LongShort 35","supp","short","hamburger","burger","shortfirst",16
"632","LongShort 26","neut","short","United Kingdom","U.K.","longfirst",16
"633","LongShort 30","neut","short","identification","ID","longfirst",16
"634","LongShort 32","supp","short","Coca-Cola","Coke","longfirst",16
"635","LongShort 17","neut","short","referee","ref","shortfirst",16
"636","LongShort 40","supp","short","United Nations","U.N.","longfirst",16
"637","LongShort 11","neut","long","chimpanzee","chimp","shortfirst",16
"638","LongShort 3","supp","short","examination","exam","longfirst",16
"639","LongShort 6","supp","short","photograph","photo","longfirst",16
"640","LongShort 7","supp","long","fraternity","frat","shortfirst",16
"641","LongShort 14","supp","long","saxophone","sax","shortfirst",17
"642","LongShort 16","supp","long","telephone","phone","shortfirst",17
"643","LongShort 6","supp","short","photograph","photo","longfirst",17
"644","LongShort 8","neut","short","refrigerator","fridge","shortfirst",17
"645","LongShort 40","neut","short","United Nations","U.N.","longfirst",17
"646","LongShort 2","neut","short","bicycle","bike","longfirst",17
"647","LongShort 18","supp","long","undergraduate","undergrad","longfirst",17
"648","LongShort 32","supp","short","Coca-Cola","Coke","shortfirst",17
"649","LongShort 11","neut","long","chimpanzee","chimp","longfirst",17
"650","LongShort 4","supp","short","dormitory","dorm","shortfirst",17
"651","LongShort 13","supp","long","limousine","limo","shortfirst",17
"652","LongShort 26","neut","short","United Kingdom","U.K.","longfirst",17
"653","LongShort 34","neut","long","veterinarian","vet","shortfirst",17
"654","LongShort 33","neut","long","milkshake","shake","longfirst",17
"655","LongShort 5","supp","short","memorandum","memo","longfirst",17
"656","LongShort 10","supp","short","rhinoceros","rhino","longfirst",17
"657","LongShort 38","neut","short","emergency room","ER","shortfirst",17
"658","LongShort 28","neut","long","laboratory","lab","longfirst",17
"659","LongShort 36","supp","short","quadriceps","quads","shortfirst",17
"660","LongShort 20","supp","long","chemotherapy","chemo","longfirst",17
"661","LongShort 37","supp","short","quadrangle","quad","longfirst",17
"662","LongShort 30","supp","short","identification","ID","shortfirst",17
"663","LongShort 3","neut","short","examination","exam","longfirst",17
"664","LongShort 19","neut","short","kilogram","kilo","longfirst",17
"665","LongShort 9","neut","short","hippopotamus","hippo","longfirst",17
"666","LongShort 7","supp","long","fraternity","frat","longfirst",17
"667","LongShort 1","supp","short","mathematics","math","shortfirst",17
"668","LongShort 15","supp","long","cockroach","roach","shortfirst",17
"669","LongShort 23","neut","long","advertisement","ad","longfirst",17
"670","LongShort 12","supp","long","pornography","porn","longfirst",17
"671","LongShort 35","neut","short","hamburger","burger","shortfirst",17
"672","LongShort 17","neut","long","referee","ref","shortfirst",17
"673","LongShort 31","neut","long","mayonnaise","mayo","shortfirst",17
"674","LongShort 24","supp","long","air conditioning","A/C","longfirst",17
"675","LongShort 22","supp","long","carbohydrates","carbs","shortfirst",17
"676","LongShort 29","supp","short","Labrador","Lab","longfirst",17
"677","LongShort 21","neut","short","television","TV","shortfirst",17
"678","LongShort 27","supp","long","microphone","mic","shortfirst",17
"679","LongShort 25","supp","short","gasoline","gas","longfirst",17
"680","LongShort 39","supp","short","United States","U.S.","shortfirst",17
"681","LongShort 27","neut","long","microphone","mic","longfirst",18
"682","LongShort 29","neut","long","Labrador","Lab","longfirst",18
"683","LongShort 13","supp","long","limousine","limo","longfirst",18
"684","LongShort 37","supp","long","quadrangle","quad","longfirst",18
"685","LongShort 2","supp","long","bicycle","bike","longfirst",18
"686","LongShort 7","neut","short","fraternity","frat","shortfirst",18
"687","LongShort 35","supp","long","hamburger","burger","shortfirst",18
"688","LongShort 21","neut","long","television","TV","shortfirst",18
"689","LongShort 22","supp","long","carbohydrates","carbs","longfirst",18
"690","LongShort 11","supp","long","chimpanzee","chimp","shortfirst",18
"691","LongShort 15","supp","long","cockroach","roach","longfirst",18
"692","LongShort 25","supp","short","gasoline","gas","longfirst",18
"693","LongShort 30","supp","short","identification","ID","shortfirst",18
"694","LongShort 28","supp","short","laboratory","lab","longfirst",18
"695","LongShort 4","neut","long","dormitory","dorm","shortfirst",18
"696","LongShort 6","neut","short","photograph","photo","shortfirst",18
"697","LongShort 14","neut","long","saxophone","sax","shortfirst",18
"698","LongShort 34","neut","long","veterinarian","vet","shortfirst",18
"699","LongShort 39","neut","long","United States","U.S.","longfirst",18
"700","LongShort 10","supp","short","rhinoceros","rhino","shortfirst",18
"701","LongShort 3","neut","short","examination","exam","shortfirst",18
"702","LongShort 40","supp","short","United Nations","U.N.","longfirst",18
"703","LongShort 31","neut","long","mayonnaise","mayo","longfirst",18
"704","LongShort 8","neut","long","refrigerator","fridge","shortfirst",18
"705","LongShort 38","neut","long","emergency room","ER","longfirst",18
"706","LongShort 32","neut","short","Coca-Cola","Coke","shortfirst",18
"707","LongShort 18","neut","long","undergraduate","undergrad","longfirst",18
"708","LongShort 36","supp","short","quadriceps","quads","shortfirst",18
"709","LongShort 5","supp","long","memorandum","memo","longfirst",18
"710","LongShort 1","neut","long","mathematics","math","longfirst",18
"711","LongShort 24","neut","long","air conditioning","A/C","longfirst",18
"712","LongShort 12","supp","long","pornography","porn","longfirst",18
"713","LongShort 26","supp","short","United Kingdom","U.K.","shortfirst",18
"714","LongShort 19","neut","long","kilogram","kilo","longfirst",18
"715","LongShort 9","supp","long","hippopotamus","hippo","longfirst",18
"716","LongShort 16","supp","long","telephone","phone","longfirst",18
"717","LongShort 17","neut","long","referee","ref","shortfirst",18
"718","LongShort 33","neut","long","milkshake","shake","longfirst",18
"719","LongShort 20","supp","long","chemotherapy","chemo","longfirst",18
"720","LongShort 23","neut","long","advertisement","ad","longfirst",18
"721","LongShort 36","neut","long","quadriceps","quads","longfirst",19
"722","LongShort 28","supp","long","laboratory","lab","longfirst",19
"723","LongShort 35","supp","long","hamburger","burger","longfirst",19
"724","LongShort 27","supp","short","microphone","mic","shortfirst",19
"725","LongShort 16","neut","short","telephone","phone","longfirst",19
"726","LongShort 40","neut","long","United Nations","U.N.","shortfirst",19
"727","LongShort 3","neut","short","examination","exam","longfirst",19
"728","LongShort 26","supp","short","United Kingdom","U.K.","shortfirst",19
"729","LongShort 39","supp","long","United States","U.S.","longfirst",19
"730","LongShort 9","neut","short","hippopotamus","hippo","longfirst",19
"731","LongShort 24","supp","long","air conditioning","A/C","longfirst",19
"732","LongShort 5","neut","long","memorandum","memo","longfirst",19
"733","LongShort 17","neut","long","referee","ref","longfirst",19
"734","LongShort 8","supp","short","refrigerator","fridge","shortfirst",19
"735","LongShort 7","supp","short","fraternity","frat","shortfirst",19
"736","LongShort 11","neut","short","chimpanzee","chimp","shortfirst",19
"737","LongShort 33","supp","short","milkshake","shake","shortfirst",19
"738","LongShort 2","neut","long","bicycle","bike","shortfirst",19
"739","LongShort 15","neut","long","cockroach","roach","shortfirst",19
"740","LongShort 14","supp","long","saxophone","sax","shortfirst",19
"741","LongShort 21","neut","short","television","TV","shortfirst",19
"742","LongShort 6","supp","short","photograph","photo","shortfirst",19
"743","LongShort 31","supp","short","mayonnaise","mayo","shortfirst",19
"744","LongShort 20","supp","short","chemotherapy","chemo","shortfirst",19
"745","LongShort 22","neut","short","carbohydrates","carbs","longfirst",19
"746","LongShort 38","supp","short","emergency room","ER","longfirst",19
"747","LongShort 29","supp","long","Labrador","Lab","shortfirst",19
"748","LongShort 32","neut","short","Coca-Cola","Coke","longfirst",19
"749","LongShort 34","supp","short","veterinarian","vet","longfirst",19
"750","LongShort 30","neut","long","identification","ID","longfirst",19
"751","LongShort 4","neut","long","dormitory","dorm","longfirst",19
"752","LongShort 13","supp","long","limousine","limo","longfirst",19
"753","LongShort 1","neut","long","mathematics","math","longfirst",19
"754","LongShort 37","supp","short","quadrangle","quad","shortfirst",19
"755","LongShort 10","neut","long","rhinoceros","rhino","longfirst",19
"756","LongShort 12","supp","short","pornography","porn","shortfirst",19
"757","LongShort 19","neut","short","kilogram","kilo","shortfirst",19
"758","LongShort 18","supp","long","undergraduate","undergrad","longfirst",19
"759","LongShort 23","neut","long","advertisement","ad","longfirst",19
"760","LongShort 25","supp","short","gasoline","gas","shortfirst",19
"761","LongShort 24","supp","long","air conditioning","A/C","longfirst",20
"762","LongShort 34","neut","long","veterinarian","vet","shortfirst",20
"763","LongShort 35","supp","long","hamburger","burger","shortfirst",20
"764","LongShort 36","supp","long","quadriceps","quads","longfirst",20
"765","LongShort 38","supp","long","emergency room","ER","shortfirst",20
"766","LongShort 13","supp","long","limousine","limo","shortfirst",20
"767","LongShort 39","neut","long","United States","U.S.","shortfirst",20
"768","LongShort 23","neut","long","advertisement","ad","longfirst",20
"769","LongShort 31","supp","short","mayonnaise","mayo","longfirst",20
"770","LongShort 19","neut","long","kilogram","kilo","longfirst",20
"771","LongShort 27","supp","long","microphone","mic","longfirst",20
"772","LongShort 29","supp","long","Labrador","Lab","shortfirst",20
"773","LongShort 26","supp","long","United Kingdom","U.K.","longfirst",20
"774","LongShort 21","neut","long","television","TV","shortfirst",20
"775","LongShort 22","supp","long","carbohydrates","carbs","shortfirst",20
"776","LongShort 25","supp","short","gasoline","gas","longfirst",20
"777","LongShort 3","neut","short","examination","exam","shortfirst",20
"778","LongShort 17","neut","long","referee","ref","shortfirst",20
"779","LongShort 9","supp","long","hippopotamus","hippo","longfirst",20
"780","LongShort 37","neut","short","quadrangle","quad","shortfirst",20
"781","LongShort 6","neut","long","photograph","photo","longfirst",20
"782","LongShort 4","supp","short","dormitory","dorm","longfirst",20
"783","LongShort 20","supp","long","chemotherapy","chemo","longfirst",20
"784","LongShort 7","neut","short","fraternity","frat","shortfirst",20
"785","LongShort 8","supp","short","refrigerator","fridge","shortfirst",20
"786","LongShort 15","neut","short","cockroach","roach","shortfirst",20
"787","LongShort 33","supp","long","milkshake","shake","longfirst",20
"788","LongShort 2","neut","short","bicycle","bike","longfirst",20
"789","LongShort 5","neut","short","memorandum","memo","shortfirst",20
"790","LongShort 32","neut","short","Coca-Cola","Coke","shortfirst",20
"791","LongShort 11","neut","short","chimpanzee","chimp","shortfirst",20
"792","LongShort 40","neut","long","United Nations","U.N.","longfirst",20
"793","LongShort 18","neut","short","undergraduate","undergrad","shortfirst",20
"794","LongShort 28","neut","long","laboratory","lab","longfirst",20
"795","LongShort 1","neut","long","mathematics","math","longfirst",20
"796","LongShort 16","supp","long","telephone","phone","shortfirst",20
"797","LongShort 12","supp","short","pornography","porn","shortfirst",20
"798","LongShort 10","supp","long","rhinoceros","rhino","shortfirst",20
"799","LongShort 30","neut","short","identification","ID","longfirst",20
"800","LongShort 14","supp","long","saxophone","sax","longfirst",20
"801","LongShort 16","supp","short","telephone","phone","longfirst",22
"802","LongShort 9","supp","short","hippopotamus","hippo","shortfirst",22
"803","LongShort 17","neut","short","referee","ref","shortfirst",22
"804","LongShort 22","neut","short","carbohydrates","carbs","shortfirst",22
"805","LongShort 36","neut","short","quadriceps","quads","shortfirst",22
"806","LongShort 15","neut","short","cockroach","roach","shortfirst",22
"807","LongShort 32","supp","short","Coca-Cola","Coke","shortfirst",22
"808","LongShort 11","supp","long","chimpanzee","chimp","longfirst",22
"809","LongShort 26","neut","short","United Kingdom","U.K.","longfirst",22
"810","LongShort 6","supp","short","photograph","photo","shortfirst",22
"811","LongShort 8","supp","short","refrigerator","fridge","longfirst",22
"812","LongShort 39","neut","short","United States","U.S.","shortfirst",22
"813","LongShort 38","supp","short","emergency room","ER","shortfirst",22
"814","LongShort 29","neut","long","Labrador","Lab","longfirst",22
"815","LongShort 35","supp","short","hamburger","burger","shortfirst",22
"816","LongShort 21","supp","short","television","TV","shortfirst",22
"817","LongShort 13","neut","long","limousine","limo","longfirst",22
"818","LongShort 19","neut","long","kilogram","kilo","longfirst",22
"819","LongShort 40","supp","short","United Nations","U.N.","longfirst",22
"820","LongShort 24","neut","long","air conditioning","A/C","longfirst",22
"821","LongShort 10","neut","short","rhinoceros","rhino","shortfirst",22
"822","LongShort 27","neut","long","microphone","mic","longfirst",22
"823","LongShort 34","supp","short","veterinarian","vet","shortfirst",22
"824","LongShort 30","supp","short","identification","ID","shortfirst",22
"825","LongShort 20","supp","short","chemotherapy","chemo","shortfirst",22
"826","LongShort 18","supp","short","undergraduate","undergrad","shortfirst",22
"827","LongShort 25","neut","long","gasoline","gas","longfirst",22
"828","LongShort 31","supp","short","mayonnaise","mayo","shortfirst",22
"829","LongShort 12","supp","short","pornography","porn","shortfirst",22
"830","LongShort 33","supp","long","milkshake","shake","longfirst",22
"831","LongShort 4","neut","short","dormitory","dorm","shortfirst",22
"832","LongShort 1","supp","long","mathematics","math","longfirst",22
"833","LongShort 3","neut","short","examination","exam","shortfirst",22
"834","LongShort 28","neut","short","laboratory","lab","shortfirst",22
"835","LongShort 5","supp","short","memorandum","memo","shortfirst",22
"836","LongShort 23","neut","long","advertisement","ad","longfirst",22
"837","LongShort 37","supp","short","quadrangle","quad","shortfirst",22
"838","LongShort 2","neut","short","bicycle","bike","shortfirst",22
"839","LongShort 7","neut","long","fraternity","frat","longfirst",22
"840","LongShort 14","supp","long","saxophone","sax","longfirst",22
"841","LongShort 14","supp","short","saxophone","sax","shortfirst",23
"842","LongShort 39","supp","long","United States","U.S.","shortfirst",23
"843","LongShort 4","supp","short","dormitory","dorm","longfirst",23
"844","LongShort 27","supp","short","microphone","mic","shortfirst",23
"845","LongShort 29","supp","short","Labrador","Lab","shortfirst",23
"846","LongShort 11","neut","long","chimpanzee","chimp","longfirst",23
"847","LongShort 33","supp","long","milkshake","shake","longfirst",23
"848","LongShort 34","neut","long","veterinarian","vet","shortfirst",23
"849","LongShort 23","neut","long","advertisement","ad","shortfirst",23
"850","LongShort 24","neut","long","air conditioning","A/C","shortfirst",23
"851","LongShort 5","neut","short","memorandum","memo","shortfirst",23
"852","LongShort 25","neut","short","gasoline","gas","longfirst",23
"853","LongShort 16","neut","long","telephone","phone","longfirst",23
"854","LongShort 40","supp","long","United Nations","U.N.","longfirst",23
"855","LongShort 13","supp","short","limousine","limo","shortfirst",23
"856","LongShort 18","neut","short","undergraduate","undergrad","longfirst",23
"857","LongShort 2","supp","short","bicycle","bike","shortfirst",23
"858","LongShort 3","neut","short","examination","exam","longfirst",23
"859","LongShort 9","neut","short","hippopotamus","hippo","longfirst",23
"860","LongShort 28","neut","long","laboratory","lab","longfirst",23
"861","LongShort 19","neut","long","kilogram","kilo","longfirst",23
"862","LongShort 31","neut","short","mayonnaise","mayo","shortfirst",23
"863","LongShort 26","supp","short","United Kingdom","U.K.","longfirst",23
"864","LongShort 20","neut","short","chemotherapy","chemo","longfirst",23
"865","LongShort 30","neut","short","identification","ID","shortfirst",23
"866","LongShort 38","neut","short","emergency room","ER","shortfirst",23
"867","LongShort 22","supp","short","carbohydrates","carbs","shortfirst",23
"868","LongShort 12","neut","long","pornography","porn","shortfirst",23
"869","LongShort 21","neut","short","television","TV","shortfirst",23
"870","LongShort 32","neut","short","Coca-Cola","Coke","longfirst",23
"871","LongShort 15","neut","long","cockroach","roach","shortfirst",23
"872","LongShort 10","neut","short","rhinoceros","rhino","longfirst",23
"873","LongShort 17","neut","short","referee","ref","shortfirst",23
"874","LongShort 37","neut","short","quadrangle","quad","shortfirst",23
"875","LongShort 1","supp","short","mathematics","math","shortfirst",23
"876","LongShort 6","supp","short","photograph","photo","shortfirst",23
"877","LongShort 7","supp","short","fraternity","frat","shortfirst",23
"878","LongShort 8","neut","short","refrigerator","fridge","longfirst",23
"879","LongShort 36","neut","short","quadriceps","quads","longfirst",23
"880","LongShort 35","supp","short","hamburger","burger","shortfirst",23
"881","LongShort 37","supp","short","quadrangle","quad","longfirst",24
"882","LongShort 13","supp","short","limousine","limo","longfirst",24
"883","LongShort 39","supp","long","United States","U.S.","longfirst",24
"884","LongShort 6","neut","long","photograph","photo","longfirst",24
"885","LongShort 7","supp","long","fraternity","frat","shortfirst",24
"886","LongShort 29","neut","short","Labrador","Lab","shortfirst",24
"887","LongShort 23","supp","long","advertisement","ad","shortfirst",24
"888","LongShort 2","neut","long","bicycle","bike","longfirst",24
"889","LongShort 30","neut","short","identification","ID","longfirst",24
"890","LongShort 15","supp","long","cockroach","roach","shortfirst",24
"891","LongShort 17","neut","long","referee","ref","longfirst",24
"892","LongShort 22","neut","long","carbohydrates","carbs","longfirst",24
"893","LongShort 10","supp","long","rhinoceros","rhino","longfirst",24
"894","LongShort 9","neut","long","hippopotamus","hippo","longfirst",24
"895","LongShort 32","supp","long","Coca-Cola","Coke","shortfirst",24
"896","LongShort 28","neut","long","laboratory","lab","longfirst",24
